locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
"santa rosa, upper ucayali river",peru,loreto,requena,,,,,,,aa23cf7d-f00c-4292-a711-c7fbe675381e
descalvados,brazil,mato grosso,caceres,,,,,,,99b86d0f-ae76-41f8-8082-e8cf4c0a5bc1
iquitos,peru,loreto,maynas,,,,,,,8576f5c3-f943-438f-9d31-2f5e7a01ac7a
coco river,nicaragua,region autonomista atlantico norte,,,,,,,,b00036bf-0418-4e49-b995-09e7a822fe4c
iquitos,peru,loreto,maynas,,,,,,,defbb1f1-0d6b-43ef-8cff-bbd8091f9458
"santiago river mouth, at mid maranon river",peru,loreto,alto amazonas,,,,,,,f9971caa-df41-4377-ae67-fc6a53879221
"tapajos river, limoal",brazil,pará,,,,,,,,2fbe8fec-0176-4af4-90bf-84433d9457d8
montanas de temban,ecuador,esmeraldas,,,,,,,,b708a1bb-632b-4166-a723-da0a55a66c7f
descalvados,brazil,mato grosso,caceres,,,,,,,71c67e3e-407d-45cb-a00a-b73f157cf2df
"santiago river mouth, at mid maranon river",peru,loreto,alto amazonas,,,,,,,ab18abf6-445c-4fd3-ab2e-9b3167285ae5
montanas de mirador,ecuador,esmeraldas,,,,,,,,860aa0fc-434a-451d-8083-5edcfabd284d
"camoa, rio mayo",mexico,sonora,,,,,,,,f5c29602-b0c4-4d09-8a8b-ef9b930293f9
descalvados,brazil,mato grosso,caceres,,,,,,,6c779719-b325-49be-930f-30bea755e26d
iquitos,peru,loreto,maynas,,,,,,,612fd1e8-0df9-4ae3-8135-de4c608214ac
descalvados,brazil,mato grosso,caceres,,,,,,,3ba2813c-41e2-4bc4-b56f-9bc9c7eb9c6b
"pongo de manseriche, maranon river",peru,loreto,alto amazonas,,,,,,,2ebba1e9-4a3f-4fff-81d9-ad80d97e45b6
iquitos,peru,loreto,maynas,,,,,,,4492192f-8663-4e31-94c1-56114bf5b9c9
paramba,ecuador,imbabura,,,,,,,,f22476e0-41ba-4e34-a6be-f9fd83799220
iquitos,peru,loreto,maynas,,,,,,,b66f7be5-0c42-4a51-86ab-aa2d8203c0ec
"rio tapajos, tauary",brazil,,,,,,,,,6067bb2a-ca8f-47d5-b8cd-2cfd9d747569
iquitos,peru,loreto,maynas,,,,,,,4d6afc4c-6724-4eec-b78d-78b00475d71e
descalvados,brazil,mato grosso,caceres,,,,,,,57b0ce51-e8ed-464b-9b5c-677acbb13577
"santiago river mouth, at mid maranon river",peru,loreto,alto amazonas,,,,,,,41529441-ef37-4779-907b-9e9710f651dc
"santiago river mouth, at mid maranon river",peru,loreto,alto amazonas,,,,,,,3cb67ff4-80a0-42d3-a6aa-8f3932200286
"lagarto, upper ucayali river",peru,loreto,requena,,,,,,,0679d3be-ae9a-4b69-a44e-9632b93dc8e6
"fort verde, cliff dwelling",united states,arizona,yavapai,,,,,,,ebc3be36-e513-49e5-8d9f-276da93b8907
montanas de acaramanga,ecuador,esmeraldas,,,,,,,,0d09a39b-59e5-477f-b181-427fa3bd876b
"tapajos river, inajatuba",brazil,pará,,,,,,,,735127b2-4382-49b0-b146-367b3e478774
manzanillo,mexico,colima,,,,,,,,dde99706-1e4d-42e3-b1e4-ac217dc50b7a
kartabo point,guyana,cuyuni - mazaruni region,,,,,,,,c1067796-20d7-4428-8a48-c0db041aa197
"lagarto, upper ucayali river",peru,loreto,requena,,,,,,,71d54663-4ce3-482d-9eeb-b37f52e3f794
"lagarto, upper ucayali river",peru,loreto,requena,,,,,,,49840afc-ba05-4e80-95c5-14e38fd164b9
puerto victoria,peru,pasco,oxapampa,,,,,,,2e3e5c8c-7c5f-4cd9-8e75-8208a9ccb17e
brownsville,united states,texas,cameron county,,,,,,,851046d4-4b37-4672-abee-8944ebc5c6ae
sanborn,mexico,veracruz,,,,,,,,bf163fd4-01e4-43b5-a837-0007a4f0b1a8
montanas de miramuchin,ecuador,esmeraldas,,,,,,,,de5f08b4-a7b1-4114-bda4-6952dc173f5d
descalvados,brazil,mato grosso,caceres,,,,,,,0ee8bfc5-b415-433f-a137-fe1cf44e2706
"lagarto, upper ucayali river",peru,loreto,requena,,,,,,,10a45ba7-6010-4d03-9441-b84a55fb9578
limoncocha,ecuador,napo,,,,,,,,02a51e5c-cc07-4fcf-98ab-737122ccb2d8
pueblo viejo,colombia,,,,,,,,,19ee2dc8-0063-4460-a441-ba884e216cc5
tampa,united states,florida,hillsborough,,,,,,,fa689a68-d429-4dd5-b193-18e20c169867
southwestern part of prov,brazil,mato grosso,,,,,,,,ec52bd94-2ff4-4edf-8b91-be5a22b25377
nareuda river,bolivia,pando,nicolas suarez,,,,,,,bf4ac6ac-d62b-46b9-9bc3-5a74547097c6
montanas de guacharaca,ecuador,esmeraldas,,,,,,,,dc24dee4-c150-41dd-a5c3-f14f86324efe
montanas de temban,ecuador,esmeraldas,,,,,,,,fe3dca47-4b7a-44ae-a89f-98b7a0ba4c02
"sydamerika, montevideo",uruguay,,,,,,,,,f8d76da7-350b-45fb-9231-466e0c58f21e
descalvados,brazil,mato grosso,caceres,,,,,,,01c2be21-e463-41f5-b8fa-65d3b322ad7b
montanas de mirador,ecuador,esmeraldas,,,,,,,,98ab6641-7aef-4734-b7ea-a8918e2550e7
montanas de miramuchin,ecuador,esmeraldas,,,,,,,,8df6c631-e7c9-49b4-9107-21fd67cb9486
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,ad8d596e-081d-4da3-aa0d-cad7ca691fa7
iquitos,peru,loreto,maynas,,,,,,,d8c18db6-6211-443c-8eec-16a9ba1d13d2
iquitos,peru,loreto,maynas,,,,,,,ed5cccf2-dfd8-41e5-a067-df1271273e23
iquitos,peru,loreto,maynas,,,,,,,5fe5c782-9b1b-4e56-ad5d-371b24e25860
descalvados,brazil,mato grosso,caceres,,,,,,,4637d6ad-b51d-4fb7-82d0-12b90da0de9b
aragon,ecuador,esmeraldas,,,,,,,,3de7d297-0779-4001-b019-eda5d9f88f5c
maicito,ecuador,esmeraldas,,,,,,,,6d4eaeff-8130-4ed4-afb8-45947ce71aa5
caune,ecuador,esmeraldas,,,,,,,,8a23faf2-9ef8-4ba2-a5a3-0f293b32bff9
limones,ecuador,esmeraldas,,,,,,,,8a555691-4cc5-4550-bf2c-53b5da941e9e
mazatlan (sinaloa),mexico,,,,,,,,,35aea9fd-ca3e-468f-9254-6f55dcbed3f3
caune,ecuador,esmeraldas,,,,,,,,0ee0d86a-29c2-4cc0-8f19-63cedacb0bff
"el orinoco, rio cesar",colombia,cesar,valledupar district,,,,,,,ea7e61f5-ad1e-47d7-8ad1-9ecdb9f18808
"el orinoco, rio cesar",colombia,cesar,valledupar district,,,,,,,afe27e0d-7b5d-4bb2-b579-d1b232e1a5b4
brownsville,united states,texas,cameron county,,,,,,,794df0d1-9f17-45f5-b8ad-f7560c28d6c9
"el orinoco, rio cesar",colombia,cesar,valledupar district,,,,,,,425ab41f-fcaa-417f-9bda-cb0b5bce88f1
"champoton, la tuxpena",mexico,campeche,champoton municipality,,,,,,,bbbfee06-eb28-45b9-9ad4-1935105102c0
caune,ecuador,esmeraldas,,,,,,,,0dcc515e-5b43-4917-a38b-cec39ed78bfe
"alamo de cesarea ranch, between marfa and terlinqua",united states,texas,brewster county,,,,,,,9b7ca1ca-22ab-4ea6-a157-483d495c26e2
limones,ecuador,pichincha,,,,,,,,5df315c1-9c47-4cad-b61f-5ad55566cb23
"champoton, la tuxpena",mexico,campeche,champoton municipality,,,,,,,e4579cc8-7433-4b20-9dae-920bd96a534c
caune,ecuador,esmeraldas,,,,,,,,56d25fc3-91c5-4888-bd4a-0385d4f1f748
tuyuyu,brazil,mato grosso,caceres,,,,,,,a93099b7-83f6-4143-a3f8-dfe0a2839aa1
on edge of rio isiboro at mouth of rio ichoa,bolivia,beni,,,,,,,,1fd80d67-3631-44b0-8483-3293621d3810
caune,ecuador,esmeraldas,,,,,,,,90bab1d8-89c7-4ad9-a243-214a76807df3
el carmen,ecuador,esmeraldas,,,,,,,,8223d969-cfda-457e-9811-10651fb6899f
tiaugne,ecuador,esmeraldas,,,,,,,,232ad177-a09f-4b4c-9f55-453fba72e20a
"las marimondas, east andes",colombia,la guajira,fonseca district,,,,,,,ae8a53f8-f09d-4519-941e-b692bedff5ea
rio guaimaral,colombia,cesar,valledupar district,,,,,,,b701bc9e-fd2f-431f-b2f2-8c20e08267dc
limones,ecuador,esmeraldas,,,,,,,,60765bbb-9cc9-42f6-8876-cadd0a475f3d
brownsville,united states,texas,cameron county,,,,,,,733741f6-b226-49a8-bc2f-3759eae190ed
aragon,ecuador,esmeraldas,,,,,,,,00318669-8e89-4f7c-a7fc-821394813f8d
cujni (?),ecuador,esmeraldas,,,,,,,,f08817a4-19df-430c-8dfd-94a95062af74
"parque nacional yasuni, 82 km s of pompeya sur",ecuador,napo,,,,,,,,4715d719-1720-4479-bbaa-cb98d3b6a7b2
"laguna del tigre, parque nacional, reserva de biosfera maya.; rio candelaria,",guatemala,petén,san andrés,,,,,,,92ae1cde-8ff5-44ba-a0c5-347fe8fbceea
"serra do parintins, amazon river, south bank",brazil,amazonas,parintins,,,,,,,4fc1aad4-6de2-4ced-a7b8-a6b098d8a243
tiahune,ecuador,esmeraldas,,,,,,,,364b8e8c-d773-4e18-9823-a1941fce4207
mirador,ecuador,esmeraldas,,,,,,,,477caf1d-485b-4df0-95dc-a95844ef0791
aragon,ecuador,esmeraldas,,,,,,,,d971f31d-cbef-45d0-84b8-3c924a49afb2
recunto el calmeri,ecuador,esmeraldas,,,,,,,,eb60b953-1595-4830-9c48-5908fd668123
albuquerque,united states,new mexico,bernalillo county,,,,,,,3003d538-5ff3-494b-a4ad-ccfc8f57dd0f
juanma gomez river,mexico,,,,,,,,,8704eeb5-82b5-4889-b74c-26ca9db33e56
cangne,ecuador,esmeraldas,,,,,,,,7736e0be-82db-4131-8e47-4cd8f58e1190
caune,ecuador,esmeraldas,,,,,,,,62ac52fc-94fd-4769-956c-a5c524aa88c9
rio guaimaral,colombia,cesar,valledupar district,,,,,,,c470d1b8-3ca7-4df7-8ab7-b96591e554a6
brownsville,united states,texas,cameron county,,,,,,,a427e364-ea1d-4411-be06-200a9acec91f
iquitos,peru,loreto,maynas,,,,,,,b275cc65-3099-4719-af7e-ce684418cb55
"el orinoco, rio cesar",colombia,cesar,valledupar district,,,,,,,aa2201cd-2b3d-43ec-b503-89eedb5cee1d
limones,ecuador,esmeraldas,,,,,,,,c269306b-2959-4312-8778-103682e687c8
cangne,ecuador,esmeraldas,,,,,,,,d27c035f-b495-4a17-ab83-429298dc7b5d
cangne,ecuador,esmeraldas,,,,,,,,eefc46f0-78ba-4afc-945b-0649b4848451
limones,ecuador,pichincha,,,,,,,,6b81afb4-3caf-4b38-8f0e-b19805ec0d59
descalvados,brazil,mato grosso,caceres,,,,,,,749066d8-4a76-43db-923f-811dcf7f2407
el orinoco,colombia,cesar,valledupar district,,,,,,,bc7575b3-6e93-4b4c-8949-895f1bcc4077
yucatan; chichen itza,mexico,,,,,,,,,6ebcef40-3413-41ec-81f8-d989953145b6
"el orinoco, rio cesar",colombia,cesar,valledupar district,,,,,,,9d065c73-6a20-42ae-844b-ca21e56a3cfb
"el orinoco, rio cesar",colombia,cesar,valledupar district,,,,,,,12e9b08c-1fc9-4705-947f-449324e59c9a
rio guaimaral,colombia,cesar,valledupar district,,,,,,,d374467c-c4bf-437f-ae84-ea23c26646a9
caune,ecuador,esmeraldas,,,,,,,,6be49177-24cd-49de-aa9e-d0fbc4058931
coacbi,ecuador,esmeraldas,,,,,,,,eaf6ff32-2191-415d-b9c8-6ae5fdb58f98
brownsville,united states,texas,cameron county,,,,,,,1dda3984-982d-4b67-9ca4-3382fdcf2a1d
rio guaimaral,colombia,cesar,valledupar district,,,,,,,48382172-4eba-413d-99dc-c821d2139563
caparo,trinidad and tobago,trinidad,caroni county,,,,,,,dcbaa201-f4f0-441c-a33d-b017967d6da5
tiahune,ecuador,esmeraldas,,,,,,,,af895436-df69-45fb-9b96-5aebc4e2ce07
limones,ecuador,pichincha,,,,,,,,06c15d1d-f4b5-4571-83b9-ad72614ba3fa
iquitos,peru,loreto,maynas,,,,,,,167e6f3e-8eca-4aa1-9b88-c71a366c5e9e
limones,ecuador,pichincha,,,,,,,,0d8e47c4-e5f0-48dd-8925-432cd6887e03
limones,ecuador,esmeraldas,,,,,,,,5aa5e39d-8bfb-40a7-8c06-90aba7087201
talitha cumi,venezuela,delta amacuro,,,,,,,,bd8c0a4d-4749-4a31-895b-e31b134f98f5
libertad,guatemala,,,,,,,,,efc7c467-7e1b-4dd2-8429-f3d0750c9448
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,e541af6a-6b6b-49d6-8a8f-60c66ae4282b
aragon,ecuador,esmeraldas,,,,,,,,eef15f5f-3496-4017-8e97-11321afa6fd1
mirador,ecuador,esmeraldas,,,,,,,,202dcde2-807d-4f6b-b839-231076317390
brownsville,united states,texas,cameron county,,,,,,,6e5e3f63-8fe9-41c9-a5b8-d35458ee1713
mountains near el tigre,ecuador,napo,,,,,,,,f9a3576f-730d-4cfe-bd6a-f5ad07eb0c27
20 kilometers north of tochiquito,mexico,campeche state,,,,,,,,4cdb3dac-f603-4504-9524-ba4949665b03
perico,peru,,,,,,,,,20248ba3-4c09-489a-bc78-836fb3748f2c
"near globe, hit by vehicle on highway 60",united states,arizona,gila county,,,,,,,8423168e-46ff-4567-a685-3e0c8463eb96
brownsville,united states,texas,,,,,,,,df6ef2ec-fc22-4790-9337-457f547330af
"raymondsville, 20 mi e, norias ranch",united states,texas,,,,,,,,5bf4c61e-dca6-4a14-b674-cc93acf01a36
"rio seteganti, near",panama,darien,,,,,,,,139788bb-0723-4dfc-92f3-fd02fdf4d54f
"doce rio, lower",brazil,espirito santo,,,,,,,,322c362e-841c-4e5e-92be-9c289b9cfd85
"rio indio, near mouth",panama,canal zone,,,,,,,,089d0fb2-2031-4e4a-8f08-81dceb42aee8
san calixto; rio tarra,colombia,norte de santander,,,,,,,,ec10f62b-ce65-44f7-8b49-6381f7fa0803
"changuinola, 7 km ssw",panama,bocas del toro,,,,,,,,6285ae0f-4515-4060-921b-808b693dbc02
"dadanawa ranch, 60 mi e",guyana,upper takutu-upper essequibo,,,,,,,,34638989-6271-49e7-bcb5-eccf2c6f561a
pufra,ecuador,,,,,,,,,bcf12ad2-22ac-44b6-9bb4-5efae68c3f55
mandinga,panama,san blas,,,,,,,,060ab681-d109-4441-9146-335bd2b963de
brownsville,united states,texas,,,,,,,,d11f448a-ed78-4338-bdab-95f1aad1158b
"rio tapajos, tauary",brazil,,,,,,,,,61916f19-6458-4303-be2b-14e888683d52
"kingsville, king ranch",united states,texas,,,,,,,,165cbb01-1d62-4e11-b87d-64cd87836d09
"chichen itza, yucatan peninsula",mexico,yucatan,,,,,,,,cd82f077-ee2f-48e1-ae17-08964c532cde
manaos,brazil,amazonas,,,,,,,,ce4741c5-f6d9-425b-b729-a74320dac862
fort ringgold,united states,texas,,,,,,,,44add850-4dc0-4e1d-bbde-0488c115930d
guyraungua river,paraguay,,,,,,,,,867bc12f-b6f1-42f0-b386-173336d4a16c
"rio tapajos, tauary",brazil,,,,,,,,,972de8ab-6a1b-4e81-8cba-9a533be77b74
"angleton, 18 mi nw",united states,texas,,,,,,,,a46239dc-0458-4d89-a5fa-a3d3321ab06b
tronpa de puebla,ecuador,,,,,,,,,afbee585-1e64-43f4-a54f-8e1b11646156
southern texas,united states,texas,,,,,,,,be3bfff0-88ae-42a8-be07-f6c5c4df916d
boca risco,panama,bocas del toro,,,,,,,,02395b3b-aab6-48b9-a85c-ca5a7640a9db
"kingsville, king ranch",united states,texas,,,,,,,,7c8e2068-26ce-4d45-8104-4f9dfb6e202f
trans-chaco km. 325,paraguay,boquerón,,,,,,,,8a270572-8f46-4be5-9223-8fcf9a96db1d
papayo,mexico,guerrero,,,,,,,,88340925-7871-48a4-a743-b25e0baa1f10
armila,panama,san blas,,,,,,,,2d33e2be-1af4-43f8-9f95-9fdda7af53c5
coyuca,mexico,guerrero,,,,,,,,d15bcbc4-a92e-4100-b52d-604043103c92
"rio indio, near mouth",panama,canal zone,,,,,,,,9bb05e87-458d-45a8-a5ff-e087218e0e96
perez,mexico,veracruz,,,,,,,,3dd32344-d9b7-4bec-91f5-307a0a38032d
"camoa, rio mayo",mexico,sonora,,,,,,,,16b4a9cf-de0f-4603-928e-033f95508064
"camoa, rio mayo",mexico,sonora,,,,,,,,0152c175-7bad-4bc9-82d9-c5bebcf35e6f
acapulco,mexico,guerrero,,,,,,,,963f6928-3bec-412f-866c-8a32d7192900
san juan,peru,pasco,oxapampa province,,,,,,,7ce5be76-4b3e-4e47-a104-cdf6d9cb8150
brownsville,united states,texas,,,,,,,,58cce6cb-46ba-46c7-9aab-01ce6c865f7a
soto la marina,mexico,tamaulipas,,,,,,,,79c94486-9a7f-4094-8f8f-84513fcce285
sibube,panama,bocas del toro,,,,,,,,13dfceea-d826-4ffb-93ff-afbc5cd0fb1a
la venta,mexico,tabasco,,,,,,,,5fc78c97-1665-4a65-ba1e-6d6d54812f69
manzanillo,mexico,colima,,,,,,,,f669682d-b937-4f78-bfd9-079faf5cda1c
reforma,mexico,oaxaca,,,,,,,,6ec6b6c5-01f0-496e-a2bd-6fb2e10ff575
bluefields,mexico,,,,,,,,,9a5aae31-4df6-43e5-9b40-4e684b44b2e2
"kingsville, king ranch",united states,texas,,,,,,,,d86bcd70-0821-4c28-b31d-94674f5c0195
campeche,mexico,campeche,,,,,,,,f727dd26-a04e-41db-99bf-d5163ca025f7
coyuca,mexico,guerrero,,,,,,,,c92e72ce-f90a-4a1f-b64a-eed944203dc0
acapulco,mexico,guerrero,,,,,,,,f9b38ba9-5a2b-424d-bfdf-1636f48624c4
"rio changuinola, rancho la cruz",panama,bocas del toro,,,,,,,,3200ecec-d50b-4bce-b2d7-4256848f9fef
soto la marina,mexico,tamaulipas,,,,,,,,10fafb4f-820c-4dc5-ba37-eedeb0dab7dd
pastonoa,paraguay,,,,,,,,,550f3197-2420-437c-808e-bcbf042dbf84
mount duida,venezuela,amazonas,atabapo,,,,,,,848dcafb-87fb-4921-a412-5b56a29125d7
"rio doce, upper",brazil,minas gerais,,,,,,,,427b3175-e119-48bc-a726-e08ec253cbac
medina,colombia,,,,,,,,,022c2b0f-5709-4ef2-b8dc-c2d0d6f0e3fc
"rio tapajos, caxiricatuba",brazil,,,,,,,,,605b0146-e5f6-41c2-a5b8-a1f406affc66
catemaco,mexico,veracruz,,,,,,,,fa0133b5-b883-4ab8-a519-2a964f0000ab
punta de pana,panama,bocas del toro,,,,,,,,963842c4-4be7-4c2e-8a16-6d6bc1eeb502
san calixto; rio tarra,colombia,norte de santander,,,,,,,,4752ff0d-fc96-49f6-a917-cc8702ea418f
mountains near el tigre,ecuador,napo,,,,,,,,3f206ccd-8912-4a22-9f84-1216d95ce32a
perez,mexico,veracruz,,,,,,,,e18d10e4-bed5-43ec-b7c4-e2173aa8f990
campeche,mexico,campeche,,,,,,,,defcc50b-d19e-4bc9-a1cd-09cb6b042614
soto la marina,mexico,tamaulipas,,,,,,,,558f918f-60b3-4833-863d-92a9abc2f95c
"kingsville, king ranch",united states,texas,,,,,,,,35dcc02f-8638-42e4-8cb6-d1313d5e1e23
juan de zalazar,paraguay,boquerón,,,,,,,,859b5e10-1a63-4a9c-b679-ca098655ed5f
"angleton, 18 mi w",united states,texas,,,,,,,,3201bbd3-24bc-48ac-8e70-ff16449bd6b1
"rio changuinola, isla de mono",panama,bocas del toro,,,,,,,,dcc0d927-939e-4f68-982b-07953b7d8733
armila,panama,san blas,,,,,,,,33c7e30f-ef78-4bf2-ad62-b423c2501b06
armeria,mexico,colima,,,,,,,,bc5872a1-446e-434e-a895-8a97e7bd7f4d
mount pirri,panama,darien,,,,,,,,41e3dd9f-8017-40b4-9d09-b7eedc9577f9
manzanillo,mexico,colima,,,,,,,,666c0988-432e-4a8e-afef-95b429eec6a1
gatun,panama,canal zone,,,,,,,,3187ca5f-9716-41ae-9443-e8f60fd9d08d
"olivia, opposite sibube panama",costa rica,limon,,,,,,,,a02d74ba-701b-400b-bfdc-c357dfe9c8d9
libertad,guatemala,peten,,,,,,,,39afda5b-5cc1-4c61-8e81-1c36ca1b473e
coyuca,mexico,guerrero,,,,,,,,5f8794fb-54ec-4ec8-8a08-15b3a1e088c6
mier,mexico,tamaulipas,,,,,,,,bfab57e8-8beb-4eb1-90df-b25bc370082b
"bay city, 18 mi e",united states,texas,,,,,,,,6c521a03-c53e-4240-8ef3-85762c1cabed
masatero,peru,huanuco,,,,,,,,bc2c19c7-f4ec-4c8e-8d72-2eee591ab29d
"east of paraguay river, central east part of paraguay in parana drainage country",paraguay,,,,,,,,,1a70c1fc-983a-4f8b-bc65-07ebdbd301a8
pucallpa,peru,ucayali,coronel portillo,,,,,,,b7255a90-ce56-4a7e-ba4e-67a0fea4001c
manzanillo,mexico,colima,,,,,,,,635c2728-8492-4a70-a651-e9b92dda32e8
teaba,mexico,tabasco,,,,,,,,8ae0c05f-e358-4de2-8b13-c830852289f0
perez,mexico,veracruz,,,,,,,,5c8b7dc7-2d3f-4661-8c34-d9c47d98a467
"camoa, rio mayo",mexico,sonora,,,,,,,,d9c36568-6ef7-43c0-8212-d2be504beae8
buena vista,mexico,veracruz,,,,,,,,e81b170c-2a3d-4f57-ace9-6ab175fc0a64
